Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,47,11,21.4,3.4,7.2,.474,0.4,1.8,.247,3.0,5.4,.549,.504,1.7,2.5,.698,1.8,4.1,6.0,1.0,0.6,0.6,1.1,2.0,9.0,achiupr01
2,Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,adamsst01
3,Bam Adebayo,C,25,MIA,70,70,35.2,8.2,15.2,.542,0.0,0.2,.083,8.2,15.0,.548,.543,4.4,5.5,.803,2.4,6.8,9.3,3.3,1.2,0.9,2.6,2.9,20.9,adebaba01
4,Ochai Agbaji,SG,22,UTA,51,14,19.0,2.4,5.4,.447,1.3,3.4,.378,1.1,2.0,.563,.565,0.7,0.9,.745,0.7,1.2,1.9,0.9,0.3,0.2,0.5,1.6,6.8,agbajoc01
5,Santi Aldama,PF,22,MEM,70,18,22.0,3.3,7.0,.470,1.3,3.6,.353,2.0,3.4,.596,.562,1.4,1.9,.740,1.1,3.6,4.7,1.3,0.6,0.6,0.7,1.9,9.2,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,51,3,15.6,2.3,5.2,.446,1.0,2.7,.381,1.3,2.5,.516,.545,0.7,1.1,.667,0.3,1.6,1.8,2.0,0.6,0.4,1.0,1.6,6.5,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,.488,1.0,2.4,.402,1.3,2.3,.578,.591,0.8,1.1,.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,15,0,17.9,2.4,6.5,.371,1.2,3.5,.346,1.2,3.0,.400,.464,0.7,1.2,.611,0.3,1.9,2.3,1.6,0.4,0.3,0.5,1.5,6.7,alexani01
7,Grayson Allen,SG,27,MIL,68,66,27.6,3.5,7.9,.446,2.1,5.2,.405,1.4,2.7,.524,.579,1.6,1.8,.911,0.9,2.5,3.3,2.2,0.9,0.2,1.0,1.7,10.8,allengr01
8,Jarrett Allen,C,24,CLE,64,64,33.0,6.0,9.3,.644,0.0,0.1,.111,5.9,9.1,.652,.644,2.4,3.2,.729,3.2,6.7,9.9,1.7,0.8,1.2,1.4,2.3,14.3,allenja01
