artist,asin,media,review_count,star_rating,title,year
Ozzy Osbourne,B0000252SH,"Audio CD,MP3 Music,Vinyl,Audio, Cassette,MiniDisc",2086,4.8,No More Tears,1998
Black Sabbath,B001EOOQF6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2088,4.8,Mob Rules,2008
Led Zeppelin,B002B9TRES,"Audio CD,Paperback,Sheet music",1995,4.8,Led Zeppelin III,2011
Iron Maiden,B000006JPJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1936,4.8,Seventh Son Of A Seventh Son,1995
Ozzy Osbourne,B002HHH3P4,"Audio CD,MP3 Music",1950,4.8,Essential Ozzy Osbourne 3.0,2009
Def Leppard,B000001DVD,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1948,4.8,High 'n' Dry,1992
Judas Priest,B00005K9LM,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1800,4.8,Defenders Of The Faith,2001
Queen,B001FES0IY,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1793,4.8,A Day at the Races,2008
Iron Maiden,B000H7JD4A,"Audio CD,Audio CD",1822,4.8,A Matter Of Life And Death,2006
Queen,B000025KL4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1793,4.8,Day at the Races,
Led Zeppelin,B000002I3D,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1765,4.8,The Song Remains The Same: Soundtrack From The Led Zeppelin Film,1999
Iron Maiden,B004KY0CLO,"Audio CD,MP3 Music,Audio CD,Vinyl,Audio, Cassette",1711,4.8,Fear of the Dark,
Iron Maiden,B00175G7E0,"Audio CD,MP3 Music,Vinyl",1589,4.8,Somewhere Back In Time - The Best Of 1980-1989,2008
Iron Maiden,B0019OW6KI,"Vinyl,MP3 Music,Audio CD",1589,4.8,Somewhere Back In Time,2008
Motörhead,B00024I0LU,"Audio CD,MP3 Music,Vinyl",1451,4.8,Ace Of Spades,2004
Ozzy Osbourne,B0000252YK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1408,4.8,Ultimate Sin,2002
Judas Priest,B000BM7TZQ,DVD,743,4.8,Live Vengeance '82 (Pal/Region 0),", et al."
Judas Priest,B0000025F0,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",738,4.8,Hell Bent For Leather,1986
Judas Priest,B000EU1QA4,"UMD for PSP,DVD",743,4.8,Judas Priest - Live Vengeance 82 [UMD for PSP],
Iron Maiden,B0000251WC,"Audio CD,Vinyl,Audio, Cassette",697,4.8,Iron Maiden - Live After Death,1998
Overkill,B07LDNGRSQ,"Audio CD,MP3 Music,Vinyl",678,4.8,Wings Of War,2019
Mercyful Fate,B086PN1HMJ,"Vinyl,MP3 Music,Audio CD",678,4.8,Don't Break The Oath,2022
Judas Priest,B00005Y0S5,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",673,4.8,Priest... Live !,2000
Motörhead,B0002SG3QA,"Audio CD,MP3 Music,Vinyl",669,4.8,Orgasmatron,2008
Queen,B000VWQTWK,"Audio CD,MP3 Music",665,4.8,Queen Rock Montreal,2007
ビースト・イン・ブラック,B09QJ41WYT,"Audio CD,MP3 Music,Vinyl",657,4.8,From Hell With Love,2022
UFO,B00004NJJQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",653,4.8,Phenomenon,2007
Iron Maiden,B000063CPL,"Audio CD,MP3 Music,Vinyl",637,4.8,Rock In Rio,2002
Judas Priest,B00005OM5J,"Audio CD,Vinyl",596,4.8,Killing Machine,2001
UFO,B00000JPYQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",594,4.8,Strangers in the Night,1999
Motörhead,B0002SG3QK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",582,4.8,Rock N Roll,2008
Motörhead,B00004T98B,"Audio CD,MP3 Music,Vinyl",572,4.8,We Are Motorhead,2000
Iron Maiden,B000GUK6XK,"Audio CD,Audio CD",1197,4.9,Live After Death,
Thin Lizzy,B0000074FJ,"Audio CD,Audio CD",1412,4.8,Live & Dangerous,1996
