artist,asin,media,review_count,star_rating,title,year,
Ministry,B006NTPEXA,"MP3 Music,Audio CD",680,4.8,Psalm 69,1992,
Mercyful Fate,B004ZW1OW2,"Vinyl,MP3 Music,Audio CD",678,4.8,Don't Break The Oath (Picture Disc),1984,
Gojira,B00F8PPADE,"Vinyl,MP3 Music,Audio CD",633,4.8,Way of All Flesh,2013,
Carcass,B000024AZV,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",626,4.8,Heartwork,2013,
Suicidal Tendencies,B004WQZP1M,"MP3 Music,Audio CD",611,4.8,Suicidal Tendencies (Original Vinyl Edition),1983,
Cattle Decapitation,B07XV92X97,"Audio CD,MP3 Music,Vinyl",603,4.8,Death Atlas,2019,
Lamb of God,B001P5Q6FC,"Audio CD,MP3 Music,Vinyl",601,4.8,Wrath,2009,
Morbid Angel,B00001R3CB,"Audio CD,MP3 Music,Vinyl",593,4.8,Alters of Madness,,
Obituary,B000000H40,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",567,4.8,Cause of Death,1998,
Lamb of God,B000092Q4U,"Audio CD,MP3 Music,Vinyl",570,4.8,As The Palaces Burn,2003,
Bruce Dickinson,B008HWBGVU,"MP3 Music,Audio CD",566,4.8,Accident Of Birth,1997,
Darkthrone,B00008ZZ41,"Audio CD,MP3 Music,Vinyl",541,4.8,Transilvanian Hunger,2017,
Opeth,B000FGGETU,"Audio CD,MP3 Music,Vinyl",542,4.8,Deliverance,2011,
Electric Wizard,B000FBHC7S,"Audio CD,MP3 Music,Vinyl",537,4.8,Dopethrone,2017,
Revocation,B002I9K2NG,"Audio CD,MP3 Music,Vinyl",63,4.9,Existence Is Futile,2009,
Anthrax,B09WX5F95X,"MP3 Music,Audio CD",533,4.8,Persistence Of Time - Exclusive Limited Edition Orange & Black Quad Colored Vinyl 4LP,,
Sepultura,B000000H3Z,"Audio CD,MP3 Music,Vinyl",1169,4.9,Beneath the Remains,1997,
Death,B00IQFC15I,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1087,4.9,Leprosy,2014,
Death,B000003C4X,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1054,4.9,Scream Bloody Gore,1991,
Death,B009INAGY0,"Audio CD,MP3 Music,Vinyl",1035,4.9,Spiritual Healing,2012,
Death,B004XD03RK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",969,4.9,Human,2011,
Dethklok,B000UGG396,"Audio CD,MP3 Music,Vinyl",508,4.9,The Dethalbum,2007,
Amon Amarth,B000HWXS2S,"Audio CD,MP3 Music,Vinyl",489,4.9,With Oden on Our Side,2006,
Entombed,B00A81MG9Y,"Vinyl,MP3 Music,Audio CD",300,4.9,Left Hand Path - Remastered in Full Dynamic Range,2013,
Bloodbath,B00197X172,"Audio CD,MP3 Music,Vinyl",175,4.9,The Fathomless Mastery,2008,
Septic Flesh,B004P7VHVA,"Vinyl,MP3 Music,Audio CD",173,4.9,The Great Mass,2016,
Meshuggah,B0002JEO74,"Audio CD,Vinyl",150,4.9,I,2004,
Scar Symmetry,B00190KZBO,"Audio CD,MP3 Music",125,4.9,Holographic Universe,2008,
Queens Of The Stone Age,B081DBRL7D,"Vinyl,MP3 Music,Audio CD",121,4.9,Songs For The Deaf - Exclusive Red & Black Marble Colored,2019,
Crowbar,B00000JPDJ,"Audio CD,MP3 Music,Vinyl",110,4.9,Odd Fellows Rest,1999,
Reverend Bizarre,B0007TF10I,"Audio CD,MP3 Music,Vinyl",43,5,In the Rectory of the Bizarre Reverend,2009,
Immortal,B000EOTERM,"Audio CD,MP3 Music,Vinyl",103,4.9,Damned in Black,2006,
Metallica,B08VP1XCGK,"Vinyl,MP3 Music,Audio CD,Audio DVD,Audio, Cassette",3216,4.8,Metallica - Exclusive Limited Edition Black Marble Colored Vinyl LP,2021,
Slipknot,B006NBYJWU,"MP3 Music,Audio CD",3213,4.8,Slipknot (Picture Disc),1999,
Cannibal Corpse,B08WMQHM3D,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1258,4.8,VIOLENCE UNIMAGINED ヴァイオレンス・アンイマジンド,2021,
Iron Maiden,B006AMXQ62,"MP3 Music,Audio CD",3166,4.8,Powerslave (Original Picture Disc),1984,
Deep Purple,B000MCADQ2,"Vinyl,MP3 Music,Audio CD,Audio DVD,Audio, Cassette",3035,4.8,Deep Purple: Machine Head,1972,
Alice In Chains,B004XTTZ0A,"MP3 Music,Audio CD",2807,4.8,Jar Of Flies (Original Vinyl),1993,
Iron Maiden,B006AMDID8,"MP3 Music,Audio CD",2426,4.8,Piece Of Mind (Picture Disc),,
Megadeth,B0055EMO96,"MP3 Music,Audio CD",1887,4.8,Peace Sells... But Who's Buying? (Original Picture Disc),1986,
Pantera,B0043G0P16,"MP3 Music,Audio CD",1874,4.8,Vulgar Display Of Power (Original Edition),1992,
Suffocation,B0009A3PR6,"Audio CD,MP3 Music,Vinyl",69,4.9,Human Waste,2005,
Slayer,B00EBWHW5O,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1217,4.8,Seasons In The Abyss,2013,
Gojira,B002N9MJS2,"Audio CD,MP3 Music,Vinyl",1151,4.8,From Mars to Sirius,2014,
Death,B004FOXIFG,"Audio CD,MP3 Music,Vinyl",1159,4.8,The Sound of Perseverance,2011,
Korn,B006MI5ETG,"MP3 Music,Audio CD",1156,4.8,Life Is Peachy,1996,
Faith No More,B00002DE1M,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1089,4.8,Angel Dust,2008,
Down,B000002HJS,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",1087,4.8,Nola,1995,
Volbeat,B0B2KQJ7TP,"MP3 Music,Audio CD",1030,4.8,Rock The Rebel / Metal The Devil - Exclusive Limited Edition White w/ Black Splatter Colored Vinyl LP,,
Dio,B006QH52MW,"MP3 Music,Audio CD",1607,4.8,Holy Diver,1983,
Disturbed,B004WM6ODO,"MP3 Music,Audio CD",1580,4.8,The Sickness (Picture Disc),2000,
Opeth,B0923WHS4Z,"Vinyl,MP3 Music,Audio CD",1442,4.8,Blackwater Park,2021,
Alice In Chains,B004XSBQIA,"MP3 Music,Audio CD",1425,4.8,Alice In Chains,,
Suffocation,B0000632M5,"Audio CD,MP3 Music,Vinyl",68,4.9,Despise The Sun,2005,
Lamb of God,B0002S94OS,"Audio CD,MP3 Music,Vinyl",1278,4.8,Ashes Of The Wake,2004,
Pantera,B0043G9O22,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",972,4.8,Far Beyond Driven (Picture Disc),1994,
Metal Church,B006OGOIGQ,"MP3 Music,Audio CD",424,4.8,Metal Church,1984,
MF Doom,B07DVQZVBS,"Vinyl,MP3 Music,Audio CD",1264,4.8,MM..Food Exclusive Green And White Color Vinyl,,
Behemoth,B00H4O3U52,"Vinyl,MP3 Music,Audio CD",959,4.8,Satanist,2014,
Opeth,B000AADYYO,"Audio CD,MP3 Music,Vinyl",957,4.8,Ghost Reveries,2005,
Deftones,B008G7QHEW,"MP3 Music,Audio CD",953,4.8,Adrenaline (Picture Disc),1995,
Death,B005LA35UG,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",930,4.8,Individual Thought Patterns,2011,
Death,B000000H66,"Audio CD,MP3 Music,Vinyl",886,4.8,Symbolic,1995,
Iron Maiden,B002S4W3NI,"Audio CD,Vinyl,Audio, Cassette",883,4.8,The Number of the Beast - Original 1982 First Release,,
Amon Amarth,B001CISHU4,"Audio CD,MP3 Music,Vinyl",857,4.8,Twilight of the Thunder God,2008,
Children of Bodom,B001DR9TN8,"Audio CD,Audio CD",422,4.8,Hate Crew Deathroll,2008,
Hypocrisy,B09FRY8VYR,"Audio CD,MP3 Music,Vinyl",415,4.8,HYPOCRISY-WORSHIP,2021,
Kreator,B006O4AF2O,"MP3 Music,Audio CD",415,4.8,Extreme Aggression (Picture Disc),1989,
Dimmu Borgir,B001ANU9QG,"Audio CD,MP3 Music,Vinyl",412,4.8,Enthrone Darkness Triumphant RELOADED,2012,
Bolt Thrower,B0000247XA,"Audio CD,MP3 Music,Vinyl",411,4.8,4th Crusade,2008,
Cradle Of Filth,B000FGGEQS,"Audio CD,MP3 Music",410,4.8,Midian,2011,
Eluveitie,B082PQ2ZC7,"Audio CD,MP3 Music,Vinyl",408,4.8,Ategnatos,,
In Flames,B0001HOYEU,"Audio CD,Audio CD",385,4.8,Soundtrack to Your Escape,2004,
Sepultura,B000000H3X,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",384,4.8,Schizophrenia,1997,
Blood Incantation,B0836Z7DKK,"Audio CD,MP3 Music,Vinyl",382,4.8,HIDDEN HISTORY OF THE HUMAN RACE ヒドゥン・ヒストリー・オブ・ザ・ヒューマン・レイス,2020,
Misfits,B000M6VW40,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",381,4.8,legacy of brutality LP,,
Meshuggah,B0041B785Y,"Audio CD,Vinyl",378,4.8,Koloss,2012,
Candlemass,B000056NVR,"Audio CD,MP3 Music,Vinyl",375,4.8,Epicus Doomicus Metallicus,2002,
Fear Factory,B000000H64,"Audio CD,MP3 Music,Audio, Cassette",366,4.8,Demanufacture,1995,
Kreator,B08P2C6D9T,"Audio CD,MP3 Music,Vinyl",367,4.8,Under the Guillotine,2021,
The White Stripes,B00770W66C,"MP3 Music,Audio CD",529,4.8,De Stijl,2000,
Darkthrone,B00009KU70,"Audio CD,MP3 Music,Vinyl",522,4.8,A Blaze In The Northern Sky,2017,
Mayhem,B000005HLV,"Audio CD,MP3 Music,Vinyl",523,4.8,De Mysteriis Dom Sathanas,2012,
Burzum,B0007WL7CG,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",515,4.8,Filosofem,2006,
Meshuggah,B0012E6R3M,"Audio CD,MP3 Music,Vinyl",503,4.8,Obzen,2008,
Killswitch Engage,B000065894,"Audio CD,MP3 Music,Vinyl",493,4.8,Alive or Just Breathing,2002,
Parkway Drive,B000VFGQ0W,"Audio CD,MP3 Music,Vinyl",466,4.8,Horizons,2007,
Celtic Frost,B000H1C3ZC,"Audio CD,MP3 Music,Vinyl",471,4.8,Morbid Tales,2006,
King Diamond,B0050Z3LEC,"DVD-ROM,MP3 Music,Audio CD,Vinyl",455,4.8,Them (Picture Disc),1988,
Ramones,B0043SM2DI,"MP3 Music,Audio CD",454,4.8,Leave Home (Picture Disc),1977,
Morbid Angel,B002NULKYK,"Audio CD,MP3 Music,Vinyl",449,4.8,Blessed Are the Sick,2009,
In Flames,B00GW94HYS,"Vinyl,MP3 Music,Audio CD",449,4.8,NB4991 LP Clayman Picture Disc VINYL,,
Mortification,B0045KXGQG,"Audio CD,MP3 Music,Vinyl",33,5,Scrolls of the Megilloth,2005,
Lorna Shore,B07ZWBF14B,"Vinyl,MP3 Music,Audio CD",429,4.8,Immortal,2020,
At The Gates,B00000584I,"Audio CD,MP3 Music,Vinyl",429,4.8,Slaughter of the Soul,1995,
