artist,asin,media,review_count,star_rating,title,year
Nile,B000R7I2HE,"Audio CD,MP3 Music,Vinyl",90,4.9,Ithyphallic Digi,2012
Green River,B008ILDC9E,"MP3 Music,Audio CD",89,4.9,Rehab Doll,1988
Melvins,B00005AG58,"Audio CD,MP3 Music,Vinyl",89,4.9,Gluey Porch Treatments,2001
Morbid Saint,B019OTOA76,"Audio CD,MP3 Music,Vinyl",82,4.9,Spectrum Of Death Extended Edition,2016
Ohgr,B0000589GD,"Audio CD,MP3 Music",82,4.9,Welt,2001
Behemoth,B0009S4VMQ,"Audio CD,MP3 Music,Vinyl",79,4.9,Sventevith Storming Near The Baltic,2006
Crowbar,B00005N8VD,"Audio CD,MP3 Music,Vinyl",78,4.9,Sonic Excess In Its Purest Form,2001
Inquisition,B00F2HW3BU,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",78,4.9,Obscure Verses for the Multiverse,2013
Misery Index,B01N8XWE6K,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",76,4.9,The Killing Gods Ltd. Ed. clear,2017
Accept,B00DR2WDS0,"Audio CD,Vinyl",75,4.9,Metal Heart / Kaizoku-Ban: Live in Japan,2013
Children of Bodom,B007R3B2AA,"Audio CD,MP3 Music,Vinyl",74,4.9,Holiday At Lake Bodom: 15 Years Of Wasted Youth,2012
Inferi,B07B16RH9J,"Audio CD,MP3 Music",73,4.9,Revenant,2018
AC/DC,B000089RV6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",13182,4.8,AC/DC Back in Black,1980
Dimebag Darrell,B0765HZY6P,Audio CD,36,5,Dimevision Vol. 2 - Roll With It Or Get Rolled Over - PHOTO BOOK VERSION,2017
36 Crazyfists,B000IJ7K1A,"Audio CD,MP3 Music,Vinyl",72,4.9,Rest Inside Flames,2008
Led Zeppelin,B00M889YJU,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",8874,4.8,Led Zeppelin IV,2014
Band-Maid,B0788WXTPQ,"Audio CD,MP3 Music",556,4.9,World Domination,2018
Dethklok,B000UGG38W,"Audio CD,MP3 Music,Vinyl",508,4.9,The Dethalbum,2007
Unleash the Archers,B06XKBSY49,"Audio CD,MP3 Music",502,4.9,Apex,2022
Band-Maid,B014JT76A4,"Audio CD,MP3 Music",498,4.9,New Beginning,2015
Amon Amarth,B000HWXS2I,"Vinyl,MP3 Music,Audio CD",489,4.9,With oden on our side,2017
AC/DC,B0000CDLL1,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",310,4.9,If You Want Blood You've Got It,2009
Entombed,B071DNP6FL,"Vinyl,MP3 Music,Audio CD",300,4.9,Left Hand Path,2017
HELLOWEEN,B011TQNZ2I,"Vinyl,Audio CD",297,4.9,Keeper of the Seven Keys Part Two,2015
Theocracy,B005STGJTY,"Audio CD,MP3 Music,Vinyl",289,4.9,As the World Bleeds,2011
Archspire,B073VGQDMW,"Audio CD,MP3 Music,Vinyl",280,4.9,Relentless Mutation,2017
Avantasia,B00111WSNO,"Audio CD,Vinyl",244,4.9,Metal Opera Part I & Ii gold Edition,2011
