artist,asin,media,review_count,star_rating,title,year
Rush,B000001ESJ,"Audio CD,MP3 Music,Vinyl,Blu-ray Audio,Audio, Cassette",2330,4.8,A Farewell to Kings,1997
Rage Against The Machine,B00015TTE2,"Audio CD,MP3 Music,Vinyl,Audio, Cassette,MiniDisc",2178,4.8,Evil Empire,2011
AC/DC,B000024X9K,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2192,4.8,"For Those About to Rock, We Salute You",1998
BABYMETAL,B01MRDHJ3P,"Vinyl,MP3 Music,Audio CD",2153,4.8,Metal Resistance,2017
Iron Maiden,B000006JPJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1936,4.8,Seventh Son Of A Seventh Son,1995
Megadeth,B000TVJEC0,"Vinyl,MP3 Music,Audio CD,Audio DVD,Audio, Cassette",1887,4.8,Peace Sells...But Who's Buying,2008
Rammstein,B0000057C5,"Audio CD,Audio CD",1925,4.8,Sehnsucht,1998
Rammstein,B000BK8FH4,"Audio CD,MP3 Music,Vinyl",1916,4.8,Rosenrot,2005
A Perfect Circle,B008HJZIZS,"MP3 Music,Audio CD",1887,4.8,Mer De Noms,2000
Rush,B000001ESL,"Audio CD,Vinyl,Audio, Cassette",1773,4.8,Hemispheres Remastered,1997
IRON MAIDEN,B08KGM48CJ,"Vinyl,Audio CD",1753,4.8,"Nights Of The Dead - Legacy Of The Beast, Live In Mexico City",2020
Rush,B0000794FS,"Audio CD,MP3 Music",1721,4.8,The Spirit Of Radio: Greatest Hits 1974-1987,2003
Korn,B00015U11M,"Audio CD,MP3 Music,Vinyl",1716,4.8,Untouchables,2015
Iron Maiden,B08PXB95YW,"Vinyl,Audio CD",1620,4.8,"Nights of the Dead,Legacy of the Beast:Live",2020
Incubus,B00005QZ9Z,"Audio CD,MP3 Music,Vinyl",1654,4.8,Morning View,2002
Mastodon,B001RP22G2,"Vinyl,Audio CD",1592,4.8,Crack the Skye,2009
Marilyn Manson,B00015TWI0,"Audio CD,MP3 Music,Vinyl",996,4.8,Holy Wood Censored Artwork,
Opeth,B000AADYYO,"Audio CD,MP3 Music,Vinyl",957,4.8,Ghost Reveries,2005
Killer Be Killed,B08QBPTB2N,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",941,4.8,Reluctant Hero,2021
Nightwish,B000WGX8OM,"Audio CD,MP3 Music,Vinyl",946,4.8,Century Child,2002
Alice In Chains,B00015TV3G,"Audio CD,MP3 Music,Audio CD",934,4.8,Alice in Chains Greatest Hits,
Death,B000003BX3,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",930,4.8,Individual Thought Patterns,
Queensrÿche,B00009L1UP,"Audio CD,MP3 Music,Audio DVD,Audio, Cassette",909,4.8,Empire,2003
Volbeat,B08L3XC9T3,"Audio CD,MP3 Music,Vinyl",894,4.8,"Rewind,Replay,Rebound: Live in Deutschland",2020
Death,B000000H66,"Audio CD,MP3 Music,Vinyl",886,4.8,Symbolic,1995
Lamb of God,B07SFK7V4M,"Audio CD,MP3 Music,Vinyl",880,4.8,VII:Sturm und Drang,2015
Scar Symmetry,B00190KZBO,"Audio CD,MP3 Music",125,4.9,Holographic Universe,2008
