artist,asin,media,review_count,star_rating,title,year,
Motörhead,B0002SG3QA,"Audio CD,MP3 Music,Vinyl",669,4.8,Orgasmatron,2008,
Elliott Smith,B007O5DQLE,"MP3 Music,Audio CD",671,4.8,Either / Or,,
Trivium,B001CIPU3G,"Audio CD,MP3 Music,Vinyl",667,4.8,Shogun,2008,
Corrosion Of Conformity,B000002AOJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",625,4.8,Deliverance,1994,
Carcass,B006MQKXO4,"MP3 Music,Audio CD",626,4.8,Heartwork,1993,
Annihilator,B0000248L1,"Audio CD,MP3 Music,Vinyl",622,4.8,Alice In Hell,2001,
Pantera,B000002HQ7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",621,4.8,Official Live: 101 Proof,1997,
Suicidal Tendencies,B00006BTB1,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",611,4.8,Suicidal Tendencies,1993,
Five Finger Death Punch,B000URDE6K,"Audio CD,MP3 Music,Vinyl",610,4.8,The Way Of The Fist,2007,
Bullet for My Valentine,B000E0WJIC,"Audio CD,MP3 Music",601,4.8,The Poison,2006,
Cattle Decapitation,B07XV92X93,"Vinyl,MP3 Music,Audio CD",603,4.8,Death Atlas,2019,
Helloween,B000002WCJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",594,4.8,Keeper Of The Seven Keys Part 2,1988,
Morbid Angel,B00001R3CB,"Audio CD,MP3 Music,Vinyl",593,4.8,Alters of Madness,,
Motörhead,B0002SG3QK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",582,4.8,Rock N Roll,2008,
Motörhead,B00004T98B,"Audio CD,MP3 Music,Vinyl",572,4.8,We Are Motorhead,2000,
Lamb of God,B006RE76KA,"MP3 Music,Audio CD",570,4.8,As The Palaces Burn (Picture Disc),2004,
Parkway Drive,B000VFGQ0W,"Audio CD,MP3 Music,Vinyl",466,4.8,Horizons,2007,
Death,B000000H66,"Audio CD,MP3 Music,Vinyl",886,4.8,Symbolic,1995,
Celtic Frost,B00000897X,"Audio CD,MP3 Music,Vinyl",471,4.8,Morbid Tales,2010,
Over Kill,B000002IOY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",464,4.8,The Years of Decay,1989,
Motörhead,B00005NQIG,"Audio CD,MP3 Music,Vinyl,Audio DVD",459,4.8,Overkill,2001,
Testament,B000002IKR,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",456,4.8,The Legacy,1990,
King Diamond,B0050Z3LEC,"DVD-ROM,MP3 Music,Audio CD,Vinyl",455,4.8,Them (Picture Disc),1988,
Ramones,B0043SM2DI,"MP3 Music,Audio CD",454,4.8,Leave Home (Picture Disc),1977,
Motörhead,B000294SFW,"Audio CD,MP3 Music,Vinyl",452,4.8,Inferno,2004,
Morbid Angel,B002NULKYK,"Audio CD,MP3 Music,Vinyl",449,4.8,Blessed Are the Sick,2009,
Slayer,B000062YAY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",432,4.8,Live - Decade Of Aggression,2002,
Suicidal Tendencies,B000026DRA,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",431,4.8,Lights Camera Revolution,1990,
At The Gates,B006OWAN8M,"MP3 Music,Audio CD",429,4.8,Slaughter Of The Soul (Picture Disc),2006,
Between the Buried and Me,B0001MXNHY,"Audio CD,MP3 Music",66,4.9,Between the Buried and Me,2004,
Motörhead,B00005NHO2,"Audio CD,Audio CD",821,4.8,Ace Of Spades,2001,
King Diamond,B000000H8J,"Audio CD,Vinyl,Audio, Cassette",811,4.8,Abigail,1987,
Motörhead,B0012GMXLU,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",795,4.8,1916,2008,
Sepultura,B000000H3W,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",776,4.8,Arise,1997,
Motörhead,B0002SG3RO,"Audio CD,MP3 Music,Vinyl",770,4.8,No Sleep Til Hammersmith,2010,
Stormtroopers of Death (S.O.D.),B0002ABT9Y,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",742,4.8,Speak English or Die,2005,
Opeth,B006N5AOVG,"MP3 Music,Audio CD",734,4.8,Damnation,2003,
Sepultura,B0000248K7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",723,4.8,Chaos Ad,2008,
Slayer,B000008KTA,"Audio CD,Vinyl",698,4.8,Show No Mercy,1993,
Killswitch Engage,B0001Z2TJY,"Audio CD,MP3 Music",689,4.8,The End of Heartache,2004,
Metal Church,B000002H3J,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",424,4.8,Metal Church,1990,
Testament,B000002IMG,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",424,4.8,The New Order,1990,
