ID,smoking
48715,no
49650,yes
18013,no
24282,no
9215,yes
26739,no
14262,yes
3481,no
22049,no
54544,yes
4841,yes
1393,no
25243,no
9235,no
34448,no
24849,yes
46265,yes
13075,yes
48765,no
37310,no
52190,no
53314,no
25310,no
27552,no
5912,yes
28286,no
22806,yes
52265,no
50597,no
3468,no
36596,no
7377,yes
9173,yes
620,no
1071,no
30986,no
17118,no
54001,yes
402,no
37166,no
28428,no
16657,no
54081,no
2049,yes
33534,no
20607,yes
42300,no
49247,yes
52003,no
19018,yes
3063,no
10479,no
33746,yes
51265,no
11760,no
11534,no
12506,no
52085,yes
26646,no
25764,no
39552,yes
28568,no
5195,no
1906,yes
1279,no
53187,no
55577,no
5252,no
39066,no
55151,no
36227,yes
43009,yes
17533,no
28486,no
1496,no
19161,no
53754,yes
4995,no
23748,no
47463,yes
15594,no
19718,yes
2431,no
37094,yes
55573,no
14126,yes
33370,no
54086,no
44122,yes
14028,yes
21400,yes
19237,yes
25777,no
49781,no
7749,yes
22463,no
2919,yes
15585,no
23777,no
51624,no
40792,no
49617,yes
14067,no
50477,no
22108,yes
30895,yes
10874,yes
18494,no
12266,yes
12628,yes
30680,yes
47310,no
45606,no
47611,yes
50881,yes
51504,no
55676,no
15458,yes
9963,yes
5753,no
32487,no
2921,yes
30350,no
24887,no
11943,yes
8529,no
34605,no
40437,no
5668,yes
3685,yes
36466,no
25750,yes
50936,yes
8113,no
35538,no
51055,no
37191,no
9837,no
51758,yes
41778,no
49118,yes
29181,no
52830,yes
5274,no
50876,no
36501,yes
43985,no
14482,no
4590,no
22702,yes
6136,yes
53756,no
38993,no
50399,no
5584,no
14210,no
12416,no
42895,no
9524,no
42266,yes
52628,no
16939,no
4234,no
12218,no
37548,yes
52690,yes
41488,yes
26080,yes
38706,no
47544,yes
52097,yes
18869,yes
47766,no
34730,yes
12061,no
12332,no
37423,no
1500,no
29674,yes
38160,no
31145,no
25265,no
55367,yes
15012,no
11546,no
40567,yes
39493,yes
13748,yes
17938,no
51945,yes
15433,no
12113,no
35376,no
455,no
39386,yes
40272,yes
44009,yes
19410,no
10957,yes
35418,no
44740,no
38471,yes
20447,no
32652,no
29667,no
24999,no
36324,no
33049,no
18503,yes
3514,no
14786,yes
51296,no
9452,no
13187,no
20666,yes
36130,no
51097,yes
21111,no
23339,no
9067,yes
6260,yes
5575,yes
18397,no
43787,no
31804,no
9151,no
29924,no
23775,no
7666,no
11297,no
11918,no
53508,no
262,yes
42910,no
38575,no
48392,yes
12725,no
7110,no
9224,yes
3938,no
41191,no
51599,yes
14134,no
36566,no
12259,yes
37484,no
39594,yes
38955,yes
18205,no
46372,no
2228,yes
2167,yes
40142,yes
7293,no
24880,no
36538,no
51916,no
24904,yes
5404,no
33088,no
49032,no
32737,no
30083,no
41672,no
13250,yes
7439,no
1361,no
18181,no
28385,yes
34584,no
34143,yes
12322,no
32397,yes
33690,yes
55565,no
2878,yes
7686,yes
1981,no
36229,no
43466,no
48850,no
48378,no
42600,yes
47699,no
41783,no
29681,no
13215,yes
9870,yes
21285,no
7138,yes
20297,yes
47827,yes
1347,no
1792,yes
18964,no
36392,no
41640,yes
31019,no
5005,no
19855,no
12297,no
31632,yes
38214,yes
25207,yes
37473,yes
35258,no
43797,no
25455,no
27674,no
50289,no
21020,yes
17908,yes
26431,no
42371,no
30894,yes
20631,no
50609,yes
4525,yes
50060,no
21561,no
42332,no
38097,no
42230,no
37280,no
33605,yes
52043,no
11200,no
39551,yes
27667,no
26895,no
25766,no
28766,no
19421,yes
25658,no
37309,yes
16617,no
40387,yes
11773,yes
21862,no
18455,yes
13400,yes
6262,no
44890,no
45574,no
16135,yes
32488,no
53577,no
9692,no
37446,no
15496,no
28459,yes
38878,no
15388,no
3495,yes
8866,no
20471,yes
10257,no
31366,yes
8990,no
29356,no
28936,no
15077,yes
48443,no
18967,no
38,yes
7288,no
37085,no
55005,yes
44843,no
32192,no
35562,no
35080,yes
9794,yes
30967,yes
12978,yes
5298,no
36053,no
31262,no
45465,no
7156,yes
24277,yes
26953,yes
15387,yes
34817,yes
17394,no
2571,yes
46903,no
19034,yes
49798,yes
55210,no
5425,yes
18134,no
8043,no
47744,no
8772,no
24481,yes
18878,no
53069,yes
30466,no
21860,no
22369,yes
35362,no
31974,no
4207,no
9023,yes
14450,yes
14391,no
45050,yes
20955,yes
41970,no
10906,yes
37997,no
35767,no
33002,no
32657,yes
1642,no
48408,no
21391,no
33666,no
20976,no
15101,yes
16110,no
19654,no
23294,no
14939,no
38957,no
24293,yes
24866,yes
8390,no
3375,no
1853,no
25845,no
31577,yes
24815,yes
8451,yes
38696,no
9172,no
10182,no
52100,no
43262,yes
28425,no
7634,no
2225,no
18682,yes
14362,no
37919,yes
15704,no
5944,no
23559,no
36275,no
10518,no
52876,yes
18438,yes
36472,no
22439,no
37066,yes
6764,yes
21430,yes
9079,no
11995,no
16305,no
6204,no
13992,no
43814,no
51818,no
29834,no
52959,no
21841,no
20240,no
44195,no
11594,no
54235,yes
45652,no
43078,no
19324,no
31958,no
16632,no
50432,no
28659,no
23273,no
39460,yes
44139,yes
28963,yes
34759,no
2463,yes
9695,yes
40176,no
24626,yes
28961,yes
18198,no
10201,no
3613,no
36674,no
37120,no
40486,no
47244,no
27216,no
3271,no
2900,yes
27381,yes
48716,yes
42019,no
49113,no
46444,yes
19272,no
15520,no
43127,yes
51562,yes
26180,yes
44219,no
50937,no
13291,yes
20009,no
6748,no
51791,yes
40584,yes
34613,yes
29832,yes
41495,yes
50464,yes
27853,yes
13322,yes
20181,no
5328,no
28322,no
52047,no
52732,no
29926,no
2669,no
54514,no
53567,no
52395,no
43570,no
29980,no
36245,no
31116,yes
46478,no
31239,no
52350,no
15328,no
36305,yes
33999,no
29324,no
50449,yes
21424,yes
4235,no
25119,no
5205,no
43549,no
45382,no
30058,yes
34686,no
972,yes
8151,no
44712,yes
48922,no
26320,no
55159,yes
20177,no
20432,no
38482,yes
46656,yes
12699,no
23122,no
16868,yes
6672,no
34534,yes
3923,yes
43775,no
6421,no
15815,yes
49488,no
22590,no
11799,yes
3201,yes
35851,yes
13333,yes
2155,no
48747,yes
43491,no
21283,yes
24749,no
35485,no
12657,no
48458,yes
50943,no
17990,no
8658,no
49120,no
44511,yes
48658,no
52385,yes
36942,no
37336,no
10267,yes
53250,no
26405,yes
13530,no
43429,no
54549,no
45475,no
8910,yes
52553,yes
7072,no
32630,no
54175,no
5967,yes
25812,no
5722,yes
51480,no
36528,yes
16884,no
8564,no
28038,no
42402,yes
785,no
46295,yes
6904,no
33050,no
53891,yes
8826,no
38678,yes
37998,yes
16322,no
53870,no
22977,yes
14493,yes
15729,no
15374,yes
3372,yes
15945,no
36087,yes
39374,no
112,no
19569,yes
9827,yes
437,yes
4151,yes
18425,yes
39760,no
24231,no
35465,yes
42097,no
27637,yes
50291,no
14351,yes
18854,yes
28771,no
49344,no
1962,no
7310,no
21313,yes
318,no
4329,yes
23965,no
25091,no
6682,yes
28154,yes
38506,yes
41238,yes
50685,yes
15943,no
50512,yes
54493,no
10122,no
15231,yes
42134,no
55101,yes
43969,no
46868,no
41715,no
27963,yes
39926,no
27564,no
3305,yes
3275,no
51644,yes
16702,yes
50015,no
50146,yes
53180,no
50843,yes
45645,yes
33413,yes
41691,no
33420,no
14919,no
41924,no
31899,yes
12681,no
42698,no
11872,no
34224,yes
29414,yes
50218,yes
15230,yes
10901,no
23046,no
55505,no
26050,no
55028,yes
7838,no
15853,yes
29579,no
29470,yes
37528,yes
16977,yes
20173,no
2604,yes
40481,no
9052,yes
55083,yes
32497,no
31978,no
22023,no
45012,no
49312,yes
16314,no
16635,no
50535,no
41366,yes
50860,no
13491,no
35959,yes
34712,yes
10954,no
29891,yes
12152,yes
46677,yes
48030,yes
50457,no
52913,no
43472,no
40230,no
44975,no
19009,no
14515,no
49257,yes
7532,yes
17882,yes
11795,no
17346,no
37129,yes
13810,no
11839,yes
39424,no
41418,yes
26746,no
20176,no
36100,yes
49826,no
16262,yes
14238,no
10718,yes
53819,yes
18544,yes
20847,no
45731,no
41634,yes
12380,no
25903,yes
34602,yes
33648,yes
24634,no
39454,no
17152,yes
47225,yes
34684,yes
47326,no
27654,yes
24348,no
14821,no
21029,no
22475,no
48974,yes
1671,no
54159,no
53840,yes
594,no
44305,yes
26209,yes
1385,no
43751,yes
28913,yes
4772,yes
33383,no
17675,yes
4037,no
52413,yes
36054,no
4757,no
20012,no
19794,yes
47221,yes
30749,yes
41033,no
44657,no
31946,yes
13824,yes
