id,satisfaction
40853,neutral or dissatisfied
15070,satisfied
104309,neutral or dissatisfied
36427,satisfied
7630,satisfied
42579,neutral or dissatisfied
5591,neutral or dissatisfied
27573,neutral or dissatisfied
126214,satisfied
92186,satisfied
14262,satisfied
126898,satisfied
91891,satisfied
90615,satisfied
77047,satisfied
19044,neutral or dissatisfied
8270,neutral or dissatisfied
100401,satisfied
120444,neutral or dissatisfied
103636,satisfied
5354,satisfied
16435,neutral or dissatisfied
28718,satisfied
45232,satisfied
115349,satisfied
101931,satisfied
27585,neutral or dissatisfied
70727,neutral or dissatisfied
51660,neutral or dissatisfied
42304,neutral or dissatisfied
46437,satisfied
17889,neutral or dissatisfied
111934,neutral or dissatisfied
121341,satisfied
57169,satisfied
113054,satisfied
67316,neutral or dissatisfied
39353,satisfied
71102,neutral or dissatisfied
113890,satisfied
108282,satisfied
95296,neutral or dissatisfied
82459,satisfied
108101,satisfied
84335,satisfied
42175,neutral or dissatisfied
41671,neutral or dissatisfied
61584,satisfied
80099,satisfied
81133,satisfied
15458,neutral or dissatisfied
116561,neutral or dissatisfied
22216,neutral or dissatisfied
15455,satisfied
74222,neutral or dissatisfied
106172,neutral or dissatisfied
113822,neutral or dissatisfied
50595,neutral or dissatisfied
23530,neutral or dissatisfied
66033,satisfied
87134,neutral or dissatisfied
94266,satisfied
10170,neutral or dissatisfied
11372,neutral or dissatisfied
72735,neutral or dissatisfied
12086,satisfied
52095,neutral or dissatisfied
12419,neutral or dissatisfied
14232,neutral or dissatisfied
1674,satisfied
48782,satisfied
120034,neutral or dissatisfied
82107,neutral or dissatisfied
57662,neutral or dissatisfied
118227,neutral or dissatisfied
4747,neutral or dissatisfied
21033,satisfied
125965,satisfied
22156,neutral or dissatisfied
24073,satisfied
13821,satisfied
77282,neutral or dissatisfied
10221,neutral or dissatisfied
67180,neutral or dissatisfied
16118,neutral or dissatisfied
5105,neutral or dissatisfied
94217,satisfied
118379,satisfied
115264,satisfied
76455,satisfied
10654,neutral or dissatisfied
44161,neutral or dissatisfied
65840,satisfied
111086,neutral or dissatisfied
7837,neutral or dissatisfied
77451,satisfied
109479,satisfied
66224,satisfied
92077,satisfied
27922,neutral or dissatisfied
45332,satisfied
35296,neutral or dissatisfied
70408,neutral or dissatisfied
46975,neutral or dissatisfied
48396,neutral or dissatisfied
87488,satisfied
94729,satisfied
9020,neutral or dissatisfied
94640,neutral or dissatisfied
111714,neutral or dissatisfied
22912,neutral or dissatisfied
34274,satisfied
104097,satisfied
6028,neutral or dissatisfied
18953,neutral or dissatisfied
54551,neutral or dissatisfied
73462,neutral or dissatisfied
92348,neutral or dissatisfied
30621,neutral or dissatisfied
60630,satisfied
64506,satisfied
7077,neutral or dissatisfied
26232,neutral or dissatisfied
27369,neutral or dissatisfied
101821,satisfied
8747,neutral or dissatisfied
85251,neutral or dissatisfied
32440,neutral or dissatisfied
128989,satisfied
49772,satisfied
69377,neutral or dissatisfied
37104,neutral or dissatisfied
54447,satisfied
68090,satisfied
95735,satisfied
90839,neutral or dissatisfied
32205,satisfied
125422,neutral or dissatisfied
98788,satisfied
89115,satisfied
126725,satisfied
47796,satisfied
34028,neutral or dissatisfied
119027,neutral or dissatisfied
52744,neutral or dissatisfied
77394,neutral or dissatisfied
123129,neutral or dissatisfied
82305,satisfied
33269,neutral or dissatisfied
83739,satisfied
71508,satisfied
5541,neutral or dissatisfied
72541,neutral or dissatisfied
82402,neutral or dissatisfied
105379,neutral or dissatisfied
65027,neutral or dissatisfied
102511,neutral or dissatisfied
103587,satisfied
89021,satisfied
63592,neutral or dissatisfied
51514,satisfied
78213,neutral or dissatisfied
96250,neutral or dissatisfied
126383,neutral or dissatisfied
55591,neutral or dissatisfied
52525,satisfied
104121,neutral or dissatisfied
121474,neutral or dissatisfied
39136,neutral or dissatisfied
129208,neutral or dissatisfied
26365,neutral or dissatisfied
62186,neutral or dissatisfied
82046,neutral or dissatisfied
15087,neutral or dissatisfied
107100,neutral or dissatisfied
36466,neutral or dissatisfied
59266,neutral or dissatisfied
57183,neutral or dissatisfied
19210,neutral or dissatisfied
11707,satisfied
82731,neutral or dissatisfied
95430,satisfied
